"William Alexander Massey (October 7, 1856 – March 5, 1914) was a United States Senator from Nevada. Born in Trumbull County, Ohio, he moved with his parents to Edgar County, Illinois in 1865. He attended the common schools, Union Christian College in Merom, Indiana, and the Indiana Asbury University (now De Pauw University) in Greencastle, Indiana. He studied law, and was admitted to the bar in 1877, commencing practice in Sullivan, Indiana. He moved to San Diego, California in 1886, and to Nevada in 1887, where he prospected and mined, and later took up the practice of law in Elko, Nevada. Massey was a member of the Nevada Assembly from 1892 to 1894, and was district attorney from 1894 to 1896. He was a justice of the Nevada Supreme Court from 1896 to 1902, when he resigned. He moved to Reno, Nevada and resumed the practice of law, and was appointed as a Republican to the United States Senate to fill the vacancy caused by the death of George S. Nixon by Governor Tasker Oddie. Massey served in the Senate from July 1, 1912 to January 29, 1913. He was defeated for election to the remainder of Nixon's term by Democrat Key Pittman. While in the Senate, he was chairman of the Committee on Mines and Mining. After his time in the Senate, he resumed the practice of law in Reno, and died on a train near Litchfield, Nevada in March 1914. His interment was in Mountain View Cemetery in Reno.",Agent,Politician,Senator
"Lions is the sixth studio album by American rock band The Black Crowes. It was released in 2001 as their first album on V2 Records following their departure from Columbia, and is their only studio album to feature guitarist Audley Freed. Lions was recorded in New York City in January and February of that year, and was produced by Don Was. Bass guitar duties were shared by Rich Robinson and Was, as Greg Rzab had left the band and was not replaced until the tour that followed the release of the album. The album debuted on the Billboard 200 at its peak position of 20, selling more than 53,000 copies in its first week. Lions received mixed reviews; although the overall sound of the album generally garnered praise, a frequent complaint was the lack of \""memorable\"" songs. The critics who rated Lions lowest considered it a poor imitation of the band's influences, such as Led Zeppelin. The band supported Lions with two North American tours (one with Oasis co-headlining), and a short tour of Europe and Japan in between. Soundboard recordings of several concerts were available for download to those who owned the album. Following the tour, the band went on hiatus until 2005.",Work,MusicalWork,Album
"Pirqa (Aymara and Quechua for wall, hispanicized spelling Pirca) is a mountain in the Wansu mountain range in the Andes of Peru, about 5,000 metres (16,404 ft) high. It is located in the Apurímac Region, Antabamba Province, Juan Espinoza Medrano District, and in the Ayacucho Region, Parinacochas Province, Coronel Castañeda District. Pirqa lies northwest of Lunq'u.",Place,NaturalPlace,Mountain
"Cancer Prevention Research is a biweekly peer-reviewed medical journal covering oncology. It was established in 2008 and is published by the American Association for Cancer Research. The editor-in-chief is Scott Lippman (UC San Diego School of Medicine). According to the Journal Citation Reports, the journal has a 2014 impact factor of 4.444.",Work,PeriodicalLiterature,AcademicJournal
"The Princeton University Chapel is located on that university's main campus in Princeton, New Jersey, United States. It replaces an older chapel that burned down in 1920. Designed in 1921 by Ralph Adams Cram in his signature Collegiate Gothic style, it was built by the university between 1924 and 1928 at a cost of $2.3 million. Martin Luther King, Jr., delivered a sermon there in 1960. The chapel was rededicated in an interfaith ceremony in 2002 following a major two-year restoration. Its size and design evoke a small cathedral of the English Middle Ages. The only university chapel of its size at the time it was built was King's College Chapel at the University of Cambridge. The foundation is poured concrete, and the superstructure is sandstone and limestone. The main sanctuary consists of a narthex, a gallery, a nave, two transepts joined by a crossing, and an elevated choir. The chapel's extensive iconography consists of stained glass, stonemasonry, and wood carvings. Among the stained glass are four \""great windows\"", one facing each cardinal direction, and four \""Christian epic\"" windows in the walls of the choir. The iconography was planned by Albert M. Friend, a faculty member in Princeton's Department of Art and Archaeology, with the goal of portraying, in one scholar's words, a \""synthesis between Christian faith and modern thought.\"" The chapel seats almost 2,000 people. A nondenominational chapel, it hosts weekly ecumenical Christian services and daily Catholic Masses. It also hosts several annual special events, such as baccalaureate services and commencements.",Place,Building,HistoricBuilding
"Sistrurus catenatus edwardsii is a subspecies of venomous pitviper  endemic to the southwestern United States and northern Mexico. In places its range overlaps that of S. c. tergeminus, and intergrading of the two subspecies is not unknown.",Species,Animal,Reptile
"The 1st Battalion, 68th Armor Regiment (1–68 Armor) is a battalion of the 68th Armor Regiment, United States Army.",Agent,Organisation,MilitaryUnit
"John Warren Davis (commonly known as J. Warren Davis) (March 4, 1867 – February 21, 1945) was a New Jersey politician and federal judge.",Agent,Person,Judge
"Alfrēds Hartmanis (November 1, 1881, Riga, Latvia - July 27, 1927, Riga, Latvia) was a Latvian chess player who won the Baltic Chess Congress in 1913.",Agent,Athlete,ChessPlayer
"The International Association of Plumbing and Mechanical Officials, or IAPMO, coordinates the development and adaptation of plumbing, mechanical, swimming pool and solar energy codes to meet the specific needs of individual jurisdictions both in the United States and abroad. IAPMO develops and publishes the Uniform Plumbing Code (UPC); Uniform Mechanical Code (UMC); Uniform Swimming Pool, Spa and Hot Tub Code (USPSHTC); Uniform Solar Energy Code (USEC); and the Green Plumbing and Mechanical Code Supplement (GPMCS).",Agent,Organisation,TradeUnion
"The 31st Battalion (Alberta), CEF, was an infantry battalion of the Canadian Expeditionary Force during the Great War. The battalion was authorized on 7 November 1914 and embarked for Britain on 17 May 1915. On 18 September 1915 it disembarked in France, where it fought with the 6th Infantry Brigade, 2nd Canadian Division in France and Flanders until the end of the war. The battalion was disbanded on 30 August 1920. The battalion commander until late in the war was Lieutenant-Colonel Arthur Henry Bell of Calgary. On 17 May 1915, the battalion sailed for England on the RMS Carpathia, with a complement of 36 officers and 1033 other ranks. After initial training in England, the battalion fought in Belgium and France, and was often at the forefront of the fighting at St. Eloi Craters, the Ypres Salient, Vimy Ridge (Thélus Village), Fresnoy, the Somme, Passchendaele Village, the Battle of Amiens, the Battle of Arras, Drocourt-Quéant Switch, Valenciennes, Mons, and the occupation of the Rhine. The bulk of the battalion returned to Canada on the SS Cedric on 27 May 1919, and to Calgary on 1 June 1919. Through the course of World War I, the 31st Battalion suffered losses of 941 dead, and an additional 2,312 non-fatal casualties. A total of 4,487 men served in the battalion. The 31st Battalion recruited in Alberta and was mobilized at Calgary. The 31st battalion had three Officers Commanding: \n* Lt.-Col. A.H. Bell, DSO, 29 May 1915 – 23 April 1918 \n* Lt.-Col. E.S. Doughty, DSO, 23 April 1918 – 6 October 1918 \n* Lt.-Col. N. Spencer, DSO, 6 October 1918-Demobilization The 31st Battalion was awarded the following honours: \n* MOUNT SORREL \n* SOMME, 1916, ’18 \n* Flers-Courcelette \n* Thiepval \n* Ancre Heights \n* Ancre, 1916 \n* ARRAS, 1917, '18 \n* Vimy, 1917 \n* Arleux \n* Scarpe, 1917, '18 \n* HILL 70 \n* Ypres 1917 \n* Passchendaele \n* AMIENS \n* Drocourt-Quéant \n* HINDENBURG LINE \n* Canal du Nord \n* Cambrai, 1918 \n* PURSUIT TO MONS \n* FRANCE AND FLANDERS, 1915-18 The 31st Battalion (Alberta), CEF, is perpetuated by The South Alberta Light Horse. Perpetuation of the 31st Battalion was assigned to The Alberta Regiment in 1920. When this regiment split in two in 1924, both The South Alberta Regiment and The North Alberta Regiment carried the perpetuation. The North Albertas disbanded in 1936. The South Alberta Regiment merged into the South Alberta Light Horse (29th Armoured Regiment) in 1954.",Agent,Organisation,MilitaryUnit
"Let It Ride is a Broadway musical based on the 1935 Broadway farce Three Men on a Horse by George Abbott. The musical, with book by Abram S. Ginnes and music and lyrics by Jay Livingston and Ray Evans, choreographer Onna White, assistant choreographer Eugene Louis Faccuito (Luigi), opened in New York City at the Eugene O'Neill Theater on October 12, 1961, and played 68 performances. The original production starred George Gobel, Sam Levene, Barbara Nichols, and the cast included Paula Stewart.",Work,MusicalWork,Musical
"Agonopterix furvella is a moth of the Depressariidae family. It is found in France, Germany, Italy, Austria, the Czech Republic, Poland, Slovakia, Hungary, Croatia, Romania, Bulgaria, the Republic of Macedonia, Albania, Greece, Ukraine and Russia. The wingspan is 23–28 mm. The larvae feed on Dictamnus albus.",Species,Animal,Insect
"Dhadgaon (also known as Akrani or Akrani Mahal) is a tehsil in Talode subdivision of Nandurbar district, Maharashtra, India. The name Akrani is derived from a local queen \""Akka Rani\"", Rani meaning queen in Marathi. Nandurbar district has five more tehsils viz. Akkalkuwa, Taloda, Shahada, Nandurbar and Navapur. The tehsil is surrounded by Madhya Pradesh state on north and east, Shahada and Talode tehsils on south and Akkalkuwa on west. Maharashtra State Highway 1 (MSH-1) passes through the tehsil along with Akkalkuwa and Shahada. The hill station and tourist attraction Toranmal is located in this tehsil.",Place,Settlement,Town
"Chamber of Commerce v. Whiting, 563 U.S. ___ (2011), is a decision by the Supreme Court of the United States that upheld an Arizona state law that punished businesses that hire illegal aliens.",UnitOfWork,LegalCase,SupremeCourtOfTheUnitedStatesCase
Nicolas Coutelot (born 9 February 1977) is a retired professional male tennis player from France who reached a career-high singles ranking of World No. 87 in May 2002. He also failed a drugs test in 2004 and was suspended for two months (cannabis).,Agent,Athlete,TennisPlayer
"Ashley Morris (born 6 May 1994) is a British speedway rider. Born in Wolverhampton, Morris took up speedway as a 12-year-old in 2006, initially on a 150cc bike, moving up to 500cc in 2008. He was included in the Scunthorpe Saints National League team in 2009 in the number eight position, and went on to average 5.56 from fifteen matches. Also in 2009, he won the British Under-15 Championship. In 2010 he joined Dudley Heathens and became a Wolverhampton Wolves asset. Towards the end of the 2010 season he was drafted into the Edinburgh Monarchs Premier League team, making 12 appearances at an average of 2.36 in the team that went on to become Premier League champions. He remained with Dudley and Edinburgh in 2011, but was released by Edinburgh towards the end of April, subsequently riding for Leicester Lions as a replacement for the injured John Oliver. With Dudley, he won both the National Shield and the National League Four-Team Championship in 2011. He rode for Dudley and Workington Comets in 2012. Morris was confirmed as captain of the Heathens for the 2013 season and was also named in the Comets team for 2013.",Agent,MotorcycleRider,SpeedwayRider
"Ambassador International, a division of Emerald House Group, is a Christian publishing company founded in Belfast, Northern Ireland in 1980 by Samuel Lowry. In 1995, the United States office opened in Greenville, SC. Today, the UK office publishes an average of twenty-five titles per year and the US office publishes an average of sixty titles, including Christian fiction. Ambassador International published the last authorized biography of renowned gospel singer, George Beverly Shea. In 2013, Ambassador published Healing Hearts: A leading pediatric heart surgeon learns about the journey from grief to life from these inspiring mothers of his lost patients, with foreword by former US Surgeon General C. Everett Koop, MD. The book was written by pediatric heart surgeon Dr. Hisashi Nikaidoh, known for the procedure that carries his name. Dr. Nikaidoh wrote the book about his experience of losing his son Hitoshi in a sudden accident in August of 2003. Other notable Ambassador International authors include Holly Durst, contestant of the reality show The Bachelor: Season 12 and winner of Bachelor Pad Season 2. Durst's children's book Chocolate Socks was published in March 2012. William (Bill) Renje, author of A Chosen Bullet: A Broken Man's Triumph Through Faith and Sports, won a gold medal in wheelchair rugby in the 1996 Summer Paralympics and the 2000 Summer Paralympics. Husband and wife authors Elizabeth and Kevin Morrisey wrote the book God's Lineup: Testimonies of Major League Baseball Players , which features several well-known players including Landon Powell, Trot Nixon, Stephen Drew and Matt Diaz. Ambassador International published missionary David Sitton's book Reckless Abandon: A Gospel pioneer's exploits among the most difficult to reach peoples in 2011, re-releasing the title with new content in 2013. Well-known preacher and theologian Dr. John Piper endorsed the book. The book is dedicated to David's niece Makayla Sitton who, along with three other family members, was killed on Thanksgiving night 2009.",Agent,Company,Publisher
Catrin Maria Nilsmark (born 30 August 1967) is a Swedish professional golfer who played on both the United States based LPGA Tour and the Ladies European Tour.,Agent,Athlete,GolfPlayer
Axel Reinhold Ståhle (1 February 1891 – 21 November 1987) was a Swedish Army officer and horse rider who competed in the 1924 Summer Olympics. He and his horse Cecil finished seventh in the individual jumping event and won a gold medal with the Swedish jumping team. Ståhle became cavalry captain (ryttmästare) in the reserve in 1928.,Agent,Athlete,HorseRider
"The Mall Wood Green is a large shopping centre and residential complex in Wood Green, north London. It is generally still referred to by its former name of Wood Green Shopping City; the signage on the building still uses that name. The Mall is the largest shopping centre within the North Circular, with just over 100 retail shops, seven of them anchor stores, 45 market stalls, and an average of 221,000 customers per week. The centre and the adjoining shops on Wood Green High Road constitute the commercial hub of Haringey and its surrounding areas.",Place,Building,ShoppingMall
"The A412 is a road in England that links Slough and Watford. It was the main artery for this corridor, and continued to St Albans prior to the construction of the M25 but the A405 came and took it over. It provides interchange to the A40/M40 at the Denham Roundabout, the M25 in Maple Cross, the A404 in Rickmansworth, and the A41 in Watford. The road links to the Watford Ring Road, and passes through the town centre, partially a grade separated dual carriageway.",Place,RouteOfTransportation,Road
"Werner Otto Sanne (5 April 1889 – 26 September 1952) was a German general (Generalleutnant) in the Wehrmacht during World War II who commanded several divisions. He was a recipient of the Knight's Cross of the Iron Cross, awarded by Nazi Germany to recognise extreme battlefield bravery or successful military leadership. Sanne commanded the 34th Infantry Division from May to November 1940, having earlier been in charge of the 193rd Replacement Division, which served to control replacement units undergoing training. In December 1940, he was appointed commander of the 100th Light Infantry Division, which had just been formed in Vienna. His new command fought entirely on the Eastern Front, firstly in the Ukraine and later in 1942, as part of the 6th Army, at Stalingrad. Promoted to generalleutnant (lieutenant general) in April 1942, shortly before the division was redesignated as the 100th Jäger Division, he surrendered to the Soviet troops in January 1943 at the conclusion of the Battle of Stalingrad. He died in captivity in 1952.",Agent,Person,MilitaryPerson
"The 2012 West Lothian Council election took place on 3 May 2012 to elect members of West Lothian Council. The election will use the 9 wards created as a result of the Local Governance (Scotland) Act 2004, with each ward electing three or four Councillors using the single transferable vote system a form of proportional representation, with 33 Councillors being elected. The Bathgate Ward gained an additional seat for the 2012 elections. The election saw Labour remain the largest party on the Council as they gained 2 seats. The Scottish National Party also made 2 net gains and significantly increased their vote share, outpolling Labour in terms of votes cast. The Scottish Conservative and Unionist Party retained their single seat on the Council and so to did the Independents. The Action to Save St. John's Hospital group were completely wiped out from the authority losing all of their 3 seats. Following the election the Labour formed a minority administration with the support of the Conservative and Independent Councillors. This replaced the SNP minority administration which had been supported by the Conservative and Action to Save St. John's Hospital group Councillors from 2007-2012.",Event,SocietalEvent,Election
"Grand Arena is located south of Bucharest in Berceni district, at the crossroad between Turnu Măgurele Street, Metalurgiei Boulevard and Gilăului Road, in the proximity of a large do-it-yourself store and cash and carry. Grand Arena Shopping Mall is anchored by Carrefour Hypermarket and it is served by an underground parking lot with approximately 2,000 car places.",Place,Building,ShoppingMall
Mynonebra diversa is a species of beetle in the family Cerambycidae. It was described by Pascoe in 1864.,Species,Animal,Insect
This article lists the comprehensive discography of the British gothic metal band Paradise Lost.,Work,MusicalWork,ArtistDiscography
"Henry Howard, 12th Earl of Suffolk, 5th Earl of Berkshire, KG, PC (16 May 1739 – 7 March 1779) was a British politician, styled Viscount Andover from 1756 to 1757. Educated at Eton and Magdalen College, Oxford, he succeeded his grandfather as Earl of Suffolk in 1757. He was awarded a MA degree from Oxford in 1759 and a DCL degree in 1761. He was High Steward of Malmesbury from 1763 to 1767, and Deputy Earl Marshal from 1763 to 1765. On 25 May 1764, he married Hon. Maria Constantia Hampden-Trevor, daughter of Robert Hampden-Trevor, 1st Viscount Hampden, who died on 7 February 1767 giving birth to their only child: \n* Maria Constantia Howard (7 February 1767 – 21 July 1775) In 1771, he was appointed a Privy Counsellor (PC) and briefly served as Lord Privy Seal before becoming Secretary of State for the Northern Department under Lord North from 1771 to 1779. In this capacity he secured the use of Hessian and Hanoverian mercenaries to help suppress the American Revolution. In the same capacity he helped to secure the survival of Sweden as an independent nation by counteracting Russia's plan to undo the Revolution of Gustavus III in 1772. He was made a Knight of the Garter (KG) in 1778. On 14 August 1777, Suffolk married Lady Charlotte Finch, daughter of Heneage Finch, 3rd Earl of Aylesford, by whom he had two children: \n* George Howard, Viscount Andover (September 1778 – 27 December 1778) \n* Henry Howard, 13th Earl of Suffolk (8 August 1779 – 10 August 1779) He died on 7 March 1779; his posthumous son Henry succeeded him for two days in August. He is buried in Charlton Church, Wiltshire, together with his first wife.",Agent,Person,OfficeHolder
"Daniel Anthony Hinton (May 24, 1953 – June 1, 1994) was a Canadian former professional ice hockey forward. He was drafted by the Chicago Black Hawks in the fifth round, 77th overall, of the 1973 NHL Amateur Draft. He was also drafted by the Houston Aeros in the seventh round, 87th overall, of the 1973 WHA Amateur Draft; however, he never played in the World Hockey Association. Hinton played fourteen National Hockey League games with the Black Hawks in the 1976–77 season, scoring no points.",Agent,WinterSportPlayer,IceHockeyPlayer
"Joseph Darnand (19 March 1897 – 10 October 1945) was a French soldier, leader of the Vichy French collaborators with Nazi Germany and a Waffen-SS officer.",Agent,Person,MilitaryPerson
The Roman Catholic Diocese of Marbel (Lat: Dioecesis Marbelianus) is a Roman Rite diocese of the Latin Church of the Catholic Church in the Philippines.,Place,ClericalAdministrativeRegion,Diocese
"Afzal Ansari (born 14 August 1953) is an Indian politician belonging to the Quami Ekta Dal. He Won 2004 General Lok Sabha Election on Samajwadi Party Ticket from Ghazipur, Uttar Pradesh. Also Contested 2009 General Election on Bahujan Samaj Party Ticket from Ghazipur, Uttar Pradesh But Lost to Samajwadi Party Radhey Mohan Singh. He is currently Secretary-General of Quami Ekta Dal. He is a younger brother of Sibagatullah Ansari and elder brother of Mukhtar Ansari.",Agent,Person,OfficeHolder
